ticker,tier,entry_date,entry_price,exit_date,exit_price,return_pct,pnl_dollars,hold_days,exit_reason
MCHP,qvm,2023-10-02,73.467,2024-01-02,81.5673,11.03,23697.63,92,qvm_rebalance
RMD,qvm,2023-10-02,142.34,2024-04-01,185.9511,30.64,65851.47,182,qvm_rebalance
ANET,qvm,2023-10-02,46.9525,2024-04-17,64.8175,38.05,81778.48,198,trailing_stop
PCTY,qvm,2024-01-02,162.8,2024-05-01,149.24,-8.33,-17056.22,120,trailing_stop
ABNB,qvm,2024-01-02,134.48,2024-05-22,142.71,6.12,12532.0,141,trailing_stop
ALGM,qvm,2024-01-02,29.495,2024-03-15,27.5,-6.76,-13850.71,73,trailing_stop
NVDA,qvm,2024-01-02,48.1386,2024-04-01,90.312,87.61,179400.43,90,qvm_rebalance
LULU,qvm,2024-04-01,385.2,2024-05-20,327.07,-15.09,-34394.4,49,trailing_stop
ALGM,qvm,2024-04-01,26.85,2024-07-01,27.93,4.02,9167.55,91,qvm_rebalance
DECK,qvm,2024-04-01,155.0833,2024-07-10,148.895,-3.99,-9094.56,100,trailing_stop
UTHR,qvm,2024-04-01,228.26,2024-12-30,357.64,56.68,129184.69,273,backtest_end
META,qvm,2024-04-01,488.0414,2024-04-25,438.4079,-10.17,-23178.87,24,trailing_stop
PCTY,qvm,2024-07-01,132.0,2024-12-30,200.05,51.55,118984.52,182,backtest_end
META,qvm,2024-07-01,501.7794,2024-07-25,450.8041,-10.16,-23446.79,24,trailing_stop
ANET,qvm,2024-07-01,89.175,2024-07-25,78.53,-11.94,-27551.1,24,trailing_stop
MSFT,qvm,2024-07-01,450.6371,2024-08-05,389.8786,-13.48,-31118.37,35,trailing_stop
FSLR,qvm,2024-07-01,222.71,2024-10-10,205.04,-7.93,-18311.9,101,trailing_stop
DECK,qvm,2024-10-01,155.62,2024-12-30,205.76,32.22,71423.94,90,backtest_end
NVDA,qvm,2024-10-01,116.9536,2024-12-30,137.4449,17.52,38840.22,90,backtest_end
META,qvm,2024-10-01,573.7035,2024-12-30,588.8773,2.64,5863.15,90,backtest_end
ANET,qvm,2024-10-01,95.4625,2024-12-30,111.45,16.75,37125.52,90,backtest_end
