ticker,tier,entry_date,entry_price,exit_date,exit_price,return_pct,pnl_dollars,hold_days,exit_reason
TXN,qvm,2021-07-01,166.4014,2021-10-01,169.916,2.11,3422.48,92,qvm_rebalance
MNST,qvm,2021-07-01,45.575,2021-10-01,44.94,-1.39,-2257.7,92,qvm_rebalance
SWKS,qvm,2021-07-01,165.0598,2021-09-29,145.8913,-11.61,-18817.6,90,trailing_stop
WSM,qvm,2021-07-01,73.1676,2021-12-01,85.8778,17.37,28148.32,153,trailing_stop
DECK,qvm,2021-10-01,60.9117,2021-12-14,62.0433,1.86,3032.95,74,trailing_stop
ULTA,qvm,2021-10-01,368.03,2022-01-03,413.23,12.28,20049.47,94,qvm_rebalance
ZBRA,qvm,2021-10-01,510.98,2022-01-03,583.9,14.27,23296.49,94,qvm_rebalance
EL,qvm,2021-10-01,289.7333,2022-01-03,345.9449,19.4,31671.99,94,qvm_rebalance
SNA,qvm,2021-10-01,186.0801,2022-01-03,190.7907,2.53,4132.58,94,qvm_rebalance
PFE,qvm,2022-01-03,45.3657,2022-02-22,38.3518,-15.46,-26945.49,50,trailing_stop
ADBE,qvm,2022-01-03,564.37,2022-02-11,473.97,-16.02,-27916.1,39,trailing_stop
DECK,qvm,2022-01-03,61.3233,2022-01-20,52.025,-15.16,-26425.88,17,trailing_stop
LULU,qvm,2022-01-03,387.56,2022-01-14,328.98,-15.12,-26342.72,11,trailing_stop
ODFL,qvm,2022-01-03,169.3564,2022-01-21,145.1242,-14.31,-24936.82,18,trailing_stop
WSM,qvm,2022-01-03,77.6806,2022-01-20,65.9035,-15.16,-26422.57,17,trailing_stop
PFE,crash,2022-02-22,38.3518,2023-08-14,30.7616,-19.79,-34510.12,538,neg_revenue_2q
LULU,crash,2022-03-09,305.82,2024-12-30,384.05,25.58,44605.52,1027,backtest_end
ANET,qvm,2022-04-01,34.87,2022-04-21,30.0475,-13.83,-24115.79,20,trailing_stop
WST,qvm,2022-04-01,412.5425,2022-04-22,346.1736,-16.09,-28052.89,21,trailing_stop
CF,qvm,2022-04-01,91.4759,2022-05-09,83.3082,-8.93,-15569.38,38,trailing_stop
EXPD,crash,2022-04-01,95.3345,2022-05-16,106.0384,11.23,19578.29,45,gm_below_30%
ODFL,qvm,2022-04-01,136.3018,2022-05-18,115.7317,-15.09,-26315.75,47,trailing_stop
CPRT,crash,2022-04-01,31.42,2024-12-30,58.13,85.01,148234.4,1004,backtest_end
LRCX,crash,2022-04-25,45.6141,2023-08-14,64.9962,42.49,71877.39,476,neg_revenue_2q
META,crash,2022-05-09,194.6822,2022-11-14,113.3306,-41.79,-70034.79,189,neg_revenue_2q
EXPD,crash,2022-05-18,99.6618,2022-05-19,98.8326,-0.83,-1388.89,1,gm_below_30%
EXPD,crash,2022-05-19,98.8326,2022-05-20,100.5006,1.69,2814.9,1,gm_below_30%
EXPD,crash,2022-05-20,100.5006,2022-05-23,100.6721,0.17,285.21,3,gm_below_30%
EXPD,crash,2022-05-23,100.6721,2022-05-24,100.3576,-0.31,-522.09,1,gm_below_30%
EXPD,crash,2022-05-24,100.3576,2022-05-25,101.1583,0.8,1332.7,1,gm_below_30%
EXPD,crash,2022-05-25,101.1583,2022-05-26,103.6174,2.43,4064.09,1,gm_below_30%
EXPD,crash,2022-06-09,97.0468,2022-06-10,94.4193,-2.71,-4537.36,1,gm_below_30%
EXPD,crash,2022-06-10,94.4193,2022-06-13,92.5205,-2.01,-3360.96,3,gm_below_30%
EXPD,crash,2022-06-13,92.5205,2022-06-14,94.5535,2.2,3665.07,1,gm_below_30%
TXN,crash,2022-06-13,137.269,2023-05-15,152.1464,10.84,18077.56,336,neg_revenue_2q
EXPD,crash,2022-06-14,94.5535,2022-06-15,93.9302,-0.66,-1102.0,1,gm_below_30%
EXPD,crash,2022-06-15,93.9302,2022-06-16,92.3479,-1.68,-2814.02,1,gm_below_30%
EXPD,crash,2022-06-16,92.3479,2022-06-17,90.3533,-2.16,-3602.1,1,gm_below_30%
EXPD,crash,2022-06-17,90.3533,2022-06-21,91.878,1.69,2808.23,4,gm_below_30%
WST,crash,2022-06-21,285.5633,2023-02-14,273.7972,-4.12,-6868.13,238,neg_revenue_2q
EXPD,crash,2022-06-21,91.878,2022-06-22,91.6383,-0.26,-434.95,1,gm_below_30%
EXPD,crash,2022-06-22,91.6383,2022-06-23,92.4726,0.91,1517.2,1,gm_below_30%
