ticker,tier,entry_date,entry_price,exit_date,exit_price,return_pct,pnl_dollars,hold_days,exit_reason
AMAT,qvm,2021-01-04,83.087,2021-05-12,110.0858,32.49,48728.57,128,trailing_stop
VRTX,qvm,2021-01-04,229.43,2021-06-11,193.02,-15.87,-23798.16,158,trailing_stop
WSM,qvm,2021-04-01,82.8435,2021-06-17,71.241,-14.01,-21801.31,77,trailing_stop
TER,qvm,2021-04-01,126.2715,2021-07-01,126.9297,0.52,811.36,91,qvm_rebalance
PYPL,qvm,2021-04-01,246.2236,2021-09-28,260.7957,5.92,9212.57,180,trailing_stop
WSM,qvm,2021-07-01,73.1676,2021-12-01,85.8778,17.37,27109.46,153,trailing_stop
DGX,qvm,2021-07-01,120.5631,2021-10-01,130.5559,8.29,12934.87,92,qvm_rebalance
TXN,qvm,2021-07-01,166.4014,2021-10-01,169.916,2.11,3296.13,92,qvm_rebalance
AMAT,qvm,2021-07-01,132.4241,2021-10-01,124.1842,-6.22,-9710.55,92,qvm_rebalance
SWKS,qvm,2021-07-01,165.0598,2021-09-29,145.8913,-11.61,-18123.17,90,trailing_stop
MNST,qvm,2021-07-01,45.575,2021-10-01,44.94,-1.39,-2174.38,92,qvm_rebalance
LULU,qvm,2021-10-01,401.37,2021-12-13,403.75,0.59,922.67,73,trailing_stop
AMD,qvm,2021-10-01,102.45,2021-12-13,133.8,30.6,47614.67,73,trailing_stop
ULTA,qvm,2021-10-01,368.03,2022-01-03,413.23,12.28,19110.43,94,qvm_rebalance
WY,qvm,2021-10-01,29.407,2022-01-03,33.9794,15.55,24194.22,94,qvm_rebalance
CPRT,qvm,2021-10-01,34.9825,2022-01-03,36.7375,5.02,7806.24,94,qvm_rebalance
REGN,qvm,2021-10-01,566.9598,2022-04-01,690.1675,21.73,33814.33,182,qvm_rebalance
EG,qvm,2022-01-03,252.1299,2022-04-01,285.4681,13.22,22250.71,88,qvm_rebalance
TER,qvm,2022-01-03,163.2057,2022-01-25,135.8721,-16.75,-28183.05,22,trailing_stop
ODFL,qvm,2022-01-03,169.3564,2022-01-21,145.1242,-14.31,-24077.84,18,trailing_stop
WSM,qvm,2022-01-03,77.6806,2022-01-20,65.9035,-15.16,-25512.4,17,trailing_stop
AMAT,qvm,2022-01-03,154.0528,2022-01-20,134.0364,-12.99,-21864.64,17,trailing_stop
KLAC,qvm,2022-01-03,416.4983,2022-01-21,357.0901,-14.26,-24002.68,18,trailing_stop
PFE,crash,2022-02-22,38.3517,2023-08-14,30.7616,-19.79,-33833.26,538,neg_revenue_2q
SWKS,crash,2022-03-07,113.6585,2023-05-15,89.9065,-20.9,-35725.37,434,neg_revenue_2q
LULU,crash,2022-03-09,305.82,2024-12-30,384.05,25.58,43730.67,1027,backtest_end
KLAC,qvm,2022-04-01,345.8071,2022-04-22,311.262,-9.99,-17637.87,21,crash_displaced_qvm
ON,qvm,2022-04-01,59.63,2022-04-25,53.48,-10.31,-18209.73,24,crash_displaced_qvm
MRK,qvm,2022-04-01,73.9577,2022-04-28,78.4383,6.06,10696.77,27,crash_displaced_qvm
CF,qvm,2022-04-01,91.4759,2022-05-09,83.3082,-8.93,-15764.62,38,trailing_stop
PSA,qvm,2022-04-01,327.144,2022-04-22,331.9706,1.48,2604.93,21,crash_displaced_qvm
EXPD,crash,2022-04-22,94.7721,2022-05-16,106.0384,11.89,20810.36,24,gm_below_30%
CPRT,crash,2022-04-22,29.0375,2024-12-30,58.13,100.19,177155.73,983,backtest_end
LRCX,crash,2022-04-25,45.6141,2023-08-14,64.9962,42.49,73610.74,476,neg_revenue_2q
META,crash,2022-04-28,204.1281,2022-11-14,113.3306,-44.48,-77532.29,200,neg_revenue_2q
EXPD,crash,2022-05-18,99.6618,2022-05-19,98.8326,-0.83,-1454.53,1,gm_below_30%
EXPD,crash,2022-05-19,98.8326,2022-05-20,100.5006,1.69,2947.88,1,gm_below_30%
EXPD,crash,2022-05-20,100.5006,2022-05-23,100.6721,0.17,298.67,3,gm_below_30%
EXPD,crash,2022-05-23,100.6721,2022-05-24,100.3576,-0.31,-546.73,1,gm_below_30%
EXPD,crash,2022-05-24,100.3576,2022-05-25,101.1582,0.8,1395.6,1,gm_below_30%
EXPD,crash,2022-05-25,101.1582,2022-05-26,103.6174,2.43,4256.05,1,gm_below_30%
EXPD,crash,2022-06-09,97.0468,2022-06-10,94.4193,-2.71,-4751.67,1,gm_below_30%
EXPD,crash,2022-06-10,94.4193,2022-06-13,92.5205,-2.01,-3519.68,3,gm_below_30%
TXN,crash,2022-06-13,137.269,2023-05-15,152.1464,10.84,18931.38,336,neg_revenue_2q
EXPD,crash,2022-06-13,92.5205,2022-06-14,94.5535,2.2,3838.18,1,gm_below_30%
EXPD,crash,2022-06-14,94.5535,2022-06-15,93.9302,-0.66,-1154.06,1,gm_below_30%
EXPD,crash,2022-06-15,93.9302,2022-06-16,92.3479,-1.68,-2946.91,1,gm_below_30%
EXPD,crash,2022-06-16,92.3479,2022-06-17,90.3533,-2.16,-3772.23,1,gm_below_30%
EXPD,crash,2022-06-17,90.3533,2022-06-21,91.878,1.69,2940.85,4,gm_below_30%
EXPD,crash,2022-06-21,91.878,2022-06-22,91.6383,-0.26,-455.51,1,gm_below_30%
EXPD,crash,2022-06-22,91.6383,2022-06-23,92.4726,0.91,1588.88,1,gm_below_30%
EXPD,crash,2022-06-23,92.4726,2022-06-24,96.366,4.21,7354.4,1,gm_below_30%
EXPD,crash,2022-06-24,96.366,2022-06-27,96.4043,0.04,69.83,3,gm_below_30%
EXPD,crash,2022-06-27,96.4043,2022-06-28,93.8151,-2.69,-4711.34,1,gm_below_30%
EXPD,crash,2022-06-28,93.8151,2022-06-29,94.0261,0.22,393.42,1,gm_below_30%
EXPD,crash,2022-06-29,94.0261,2022-06-30,93.4603,-0.6,-1052.98,1,gm_below_30%
EXPD,crash,2022-06-30,93.4603,2022-07-01,93.5754,0.12,215.35,1,gm_below_30%
ISRG,crash,2022-07-01,206.1,2024-12-30,526.96,155.68,272292.99,913,backtest_end
COP,qvm,2023-01-03,101.7928,2023-02-17,94.1112,-7.55,-12538.48,45,trailing_stop
CTRA,crash,2023-01-03,20.5863,2023-11-14,25.0764,21.81,36239.26,315,neg_revenue_2q
COP,crash,2023-03-13,91.0018,2023-08-14,108.2338,18.94,29375.91,154,neg_revenue_2q
CVX,qvm,2023-04-03,149.6858,2023-07-03,139.8208,-6.59,-11466.49,91,qvm_rebalance
ALB,qvm,2023-07-03,219.5133,2023-07-27,197.1943,-10.17,-17402.66,24,trailing_stop
MCHP,qvm,2023-07-03,84.5773,2023-08-16,74.3933,-12.04,-20609.38,44,trailing_stop
EXE,qvm,2023-07-03,77.3957,2023-10-02,77.7969,0.52,887.33,91,qvm_rebalance
ANET,qvm,2023-10-02,46.9525,2024-04-17,64.8175,38.05,66343.41,198,trailing_stop
RMD,qvm,2023-10-02,142.34,2024-04-01,185.9511,30.64,53422.51,182,qvm_rebalance
MCHP,qvm,2023-10-02,73.467,2024-01-02,81.5673,11.03,19224.88,92,qvm_rebalance
PCTY,qvm,2023-10-02,185.06,2023-11-01,164.14,-11.3,-19710.73,30,trailing_stop
ABNB,qvm,2023-10-02,136.56,2023-10-26,115.47,-15.44,-26928.15,24,trailing_stop
ELF,qvm,2023-10-02,108.21,2023-10-31,92.63,-14.4,-25104.62,29,trailing_stop
NVDA,qvm,2024-01-02,48.1386,2024-04-01,90.312,87.61,151330.27,90,qvm_rebalance
PCTY,qvm,2024-01-02,162.8,2024-05-01,149.24,-8.33,-14387.48,120,trailing_stop
ABNB,qvm,2024-01-02,134.48,2024-05-22,142.71,6.12,10571.15,141,trailing_stop
ALGM,qvm,2024-01-02,29.495,2024-03-15,27.5,-6.76,-11683.54,73,trailing_stop
META,qvm,2024-04-01,488.0414,2024-04-25,438.4079,-10.17,-19530.53,24,trailing_stop
ALGM,qvm,2024-04-01,26.85,2024-07-01,27.93,4.02,7724.58,91,qvm_rebalance
DECK,qvm,2024-04-01,155.0833,2024-07-10,148.895,-3.99,-7663.08,100,trailing_stop
UTHR,qvm,2024-04-01,228.26,2024-12-30,357.64,56.68,108851.11,273,backtest_end
PCTY,qvm,2024-07-01,132.0,2024-12-30,200.05,51.55,101618.13,182,backtest_end
MSFT,qvm,2024-07-01,450.6371,2024-08-05,389.8786,-13.48,-26576.44,35,trailing_stop
ANET,qvm,2024-07-01,89.175,2024-07-25,78.53,-11.94,-23529.88,24,trailing_stop
META,qvm,2024-07-01,501.7794,2024-07-25,450.804,-10.16,-20024.62,24,trailing_stop
FSLR,qvm,2024-07-01,222.71,2024-10-10,205.04,-7.93,-15639.18,101,trailing_stop
DECK,qvm,2024-10-01,155.62,2024-12-30,205.76,32.22,61002.61,90,backtest_end
META,qvm,2024-10-01,573.7035,2024-12-30,588.8773,2.64,5007.67,90,backtest_end
NVDA,qvm,2024-10-01,116.9536,2024-12-30,137.445,17.52,33173.12,90,backtest_end
ANET,qvm,2024-10-01,95.4625,2024-12-30,111.45,16.75,31708.6,90,backtest_end
